Candidate,Year,Party,Popular vote,Notes
Vincent Hallinan,1952,Progressive,140746,
James Madison,1812,Democratic-Republican,140431,Winner; a limited number of states counted the popular vote
Norman Thomas,1948,Socialist,139569,
John M. Palmer,1896,National Democratic,134645,
Benjamin Butler,1884,Anti-Monopoly,134294,Also endorsed by the Greenback Party
DeWitt Clinton,1812,Democratic-Republican,132781,Also endorsed by much of the Federalist Party. A limited number of states counted the popular vote
Joshua Levering,1896,Prohibition,131312,
James Madison,1808,Democratic-Republican,124732,Winner; a limited number of states counted the popular vote
David Cobb,2004,Green,119859,
Norman Thomas,1940,Socialist,116599,
Thomas E. Watson,1904,Populist,114070,
John Hagelin,1996,Natural Law,113670,
John Quincy Adams,1824,Democratic-Republican,113142,"Lost the popular vote, but won the election."
T. Coleman Andrews,1956,States' Rights,107929,
Bo Gritz,1992,Populist,106152,
Thomas Jefferson,1804,Democratic-Republican,104110,Winner; a limited number of states counted the popular vote
Claude A. Watson,1948,Prohibition,103708,
William Z. Foster,1932,Communist,103307,
William Wirt,1832,Anti-Masonic,100715,
